No.,Text,Type,Label,Main emotion
1,A bad break,idiom,1,Negative
2,A bad hair day,idiom,1,Negative
3,A bad workman always blames his tools,idiom,1,Negative
4,A big ask,idiom,0,Neutral
5,A bigger bang for your buck,idiom,0,Positive
6,A bird in the hand is worth two in the bush,idiom,0,Positive
7,A bite to eat,idiom,0,Positive
8,A blessing in disguise,idiom,0,Positive
9,A bull and cow,idiom,0,Neutral
10,A bunch of fives,idiom,0,Neutral
11,A chip on your shoulder,idiom,0,Neutral
12,A diamond in the rough,idiom,0,Positive
13,A dime a dozen,idiom,1,Negative
14,A doubting Thomas,idiom,1,Negative
15,A drop in the bucket,idiom,1,Negative
16,A fate worse than death,idiom,0,Positive
17,A feather in one's cap,idiom,0,Neutral
18,A fish out of water,idiom,0,Neutral
19,A flash in the pan,idiom,1,Negative
20,A fly in the ointment,idiom,1,Negative
21,A fly on the wall,idiom,0,Positive
22,A fool and his money are soon parted,idiom,0,Neutral
23,A fool's paradise,idiom,0,Neutral
24,A foot in the door,idiom,0,Positive
25,A golden key can open any door,idiom,0,Neutral
26,A hot potato,idiom,0,Positive
27,A house divided against itself cannot stand,idiom,1,Negative
28,A knight in shining armour,idiom,1,Negative
29,A leopard can't change his spots,idiom,0,Neutral
30,A little bird told me,idiom,0,Neutral
31,A load of cobblers,idiom,0,Neutral
32,A load of codswallop,idiom,0,Neutral
33,A lot on your plate,idiom,0,Positive
34,A man after my own heart,idiom,0,Neutral
35,A miss is as good as a mile,idiom,1,Negative
36,A penny for your thoughts,idiom,0,Neutral
37,A penny saved is a penny earned,idiom,0,Neutral
38,A picture paints a thousand words,idiom,0,Positive
39,A piece of cake,idiom,0,Positive
40,A pig in a poke,idiom,0,Positive
41,A place in the sun,idiom,0,Neutral
42,A red rag to a bull,idiom,0,Neutral
43,A safe pair of hands,idiom,1,Negative
44,A sea change,idiom,0,Neutral
45,A sight for sore eyes,idiom,0,Positive
46,A skeleton in the closet,idiom,1,Negative
47,A shot in the arm,idiom,0,Neutral
48,A slap on the wrist,idiom,0,Positive
49,A sledgehammer to crack a nut,idiom,1,Negative
50,A sorry sight,idiom,1,Negative
51,A stitch in time saves nine,idiom,0,Positive
52,A stone's throw,idiom,0,Neutral
53,A taste of your own medicine,idiom,0,Neutral
54,A thorn in my flesh,idiom,1,Negative
55,A toss up,idiom,1,Negative
56,A wolf in sheep's clothing,idiom,1,Negative
57,About face,idiom,1,Negative
58,About time,idiom,0,Positive
59,Absence makes the heart grow fonder,idiom,0,Neutral
60,Abso-bloody-lutely,idiom,0,Positive
61,Ace in the hole,idiom,1,Negative
62,Achilles' heel,idiom,0,Positive
63,Across the board,idiom,0,Neutral
64,Act your age,idiom,0,Positive
65,Actions speak louder than words,idiom,0,Positive
66,Adam's ale,idiom,1,Negative
67,Add fuel to the fire,idiom,1,Negative
68,Add insult to injury,idiom,1,Negative
69,Against the clock,idiom,0,Positive
70,Ain't my first rodeo,idiom,0,Neutral
71,Al fresco,idiom,0,Neutral
72,Al desko,idiom,0,Neutral
73,All at sea,idiom,1,Negative
74,All kidding aside,idiom,1,Negative
75,All bark and no bite,idiom,1,Negative
76,All Greek to me,idiom,0,Neutral
77,All in all,idiom,0,Positive
78,All in a day's work,idiom,1,Negative
79,All set,idiom,0,Positive
80,All the way,idiom,0,Positive
81,All thumbs,idiom,1,Negative
82,All to cock,idiom,0,Neutral
83,All together now,idiom,0,Neutral
84,Alley cat,idiom,0,Positive
85,Alpha Mom,idiom,0,Positive
86,Alphabet soup,idiom,0,Neutral
87,Amber nectar,idiom,0,Neutral
88,Amped up,idiom,0,Positive
89,An act of God,idiom,1,Negative
90,An arm and a leg,idiom,1,Negative
91,An axe to grind,idiom,0,Neutral
92,An open and shut case,idiom,0,Positive
93,Ankle biter,idiom,1,Negative
94,Apples and pears,idiom,0,Neutral
95,As high as a kite,idiom,0,Positive
96,At the drop of a hat,idiom,0,Neutral
97,Away with the fairies,idiom,0,Neutral
