Clip Number,Clip Name,Response Level,Displayed Emotion,,,,,,,,,
768,1010_MTI_SAD_XX,58,S,,,,,,,,,
2981,1037_IWL_HAP_XX,39,H,,,,,,,,,
1736,1022_IWW_FEA_XX,79,F,,,,,,,,,
5471,1067_WSI_HAP_XX,40,H,,,,,,,,,
21,1001_TIE_FEA_XX,88,F,,,,,,,,,
1487,1019_IOM_HAP_XX,52,H,,,,,,,,,
4724,1058_ITS_FEA_XX,36,F,,,,,,,,,
5720,1070_WSI_FEA_XX,50,F,,,,,,,,,
4226,1052_DFA_FEA_XX,40,F,,,,,,,,,
2234,1028_TAI_FEA_XX,68,F,,,,,,,,,
5222,1064_TSI_FEA_XX,100,F,,,,,,,,,
4475,1055_ITS_HAP_XX,63,H,,,,,,,,,
1017,1013_MTI_DIS_XX,48,D,,,,,,,,,
6716,1083_IEO_FEA_MD,63,F,,,,,,,,,
5969,1074_IEO_HAP_LO,37,H,,,,,,,,,
3977,1049_DFA_HAP_XX,55,H,,,,,,,,,
4973,1061_TSI_HAP_XX,69,H,,,,,,,,,
3230,1040_IWL_FEA_XX,52,F,,,,,,,,,
1985,1025_TAI_HAP_XX,69,H,,,,,,,,,
3728,1046_ITH_FEA_XX,39,F,,,,,,,,,
6218,1077_IEO_SAD_MD,60,S,,,,,,,,,
2732,1034_MTI_FEA_XX,63,F,,,,,,,,,
519,1007_IOM_DIS_XX,42,D,,,,,,,,,
270,1004_IOM_SAD_XX,65,S,,,,,,,,,
3479,1043_ITH_HAP_XX,61,H,,,,,,,,,
7214,1089_TIE_HAP_XX,51,H,,,,,,,,,
6965,1086_IEO_DIS_MD,99,D,,,,,,,,,
6467,1080_IEO_ANG_MD,80,A,,,,,,,,,
2483,1031_MTI_HAP_XX,60,H,,,,,,,,,
1238,1016_TIE_FEA_XX,35,F,,,,,,,,,
1764,1022_DFA_SAD_XX,74,S,,,,,,,,,
6495,1080_TAI_SAD_XX,77,S,,,,,,,,,
7242,1089_MTI_DIS_XX,31,D,,,,,,,,,
298,1004_ITH_NEU_XX,57,N,,,,,,,,,
2760,1034_TSI_SAD_XX,74,S,,,,,,,,,
3258,1040_WSI_SAD_XX,60,S,,,,,,,,,
4503,1056_IEO_FEA_MD,82,F,,,,,,,,,
49,1001_IWL_SAD_XX,71,S,,,,,,,,,
1045,1013_TSI_ANG_XX,91,A,,,,,,,,,
5499,1068_IOM_HAP_XX,81,H,,,,,,,,,
6993,1086_MTI_SAD_XX,49,S,,,,,,,,,
4005,1050_IEO_SAD_MD,86,S,,,,,,,,,
6744,1083_TAI_DIS_XX,44,D,,,,,,,,,
3507,1043_WSI_DIS_XX,70,D,,,,,,,,,
2511,1031_ITS_DIS_XX,65,D,,,,,,,,,
5997,1074_IWW_HAP_XX,94,H,,,,,,,,,
5250,1065_TIE_FEA_XX,80,F,,,,,,,,,
2013,1025_DFA_DIS_XX,73,D,,,,,,,,,
4752,1059_IEO_DIS_MD,84,D,,,,,,,,,
547,1007_ITH_ANG_XX,81,A,,,,,,,,,
1266,1016_IWL_SAD_XX,91,S,,,,,,,,,
5001,1062_TIE_HAP_XX,84,H,,,,,,,,,
4254,1053_IEO_ANG_MD,34,A,,,,,,,,,
1515,1019_IWL_DIS_XX,65,D,,,,,,,,,
5748,1071_IOM_FEA_XX,83,F,,,,,,,,,
6246,1077_IWW_DIS_XX,72,D,,,,,,,,,
796,1010_TSI_NEU_XX,42,N,,,,,,,,,
3756,1047_IEO_HAP_MD,69,H,,,,,,,,,
3009,1037_TSI_DIS_XX,76,D,,,,,,,,,
2262,1028_ITS_SAD_XX,89,S,,,,,,,,,
2041,1026_IEO_ANG_HI,38,A,,,,,,,,,
5278,1065_IWL_SAD_XX,75,S,,,,,,,,,
6025,1074_ITH_DIS_XX,85,D,,,,,,,,,
4033,1050_IWW_DIS_XX,81,D,,,,,,,,,
3286,1041_IOM_SAD_XX,60,S,,,,,,,,,
4780,1059_MTI_SAD_XX,78,S,,,,,,,,,
7021,1086_TSI_NEU_XX,19,N,,,,,,,,,
1792,1023_IEO_SAD_HI,74,S,,,,,,,,,
2290,1029_IEO_FEA_HI,70,F,,,,,,,,,
7270,1089_TSI_ANG_XX,55,A,,,,,,,,,
824,1011_TIE_NEU_XX,64,N,,,,,,,,,
3784,1047_IWW_SAD_XX,90,S,,,,,,,,,
326,1004_WSI_FEA_XX,48,F,,,,,,,,,
5029,1062_MTI_DIS_XX,94,D,,,,,,,,,
575,1008_IEO_HAP_LO,59,H,,,,,,,,,
77,1001_WSI_NEU_XX,69,N,,,,,,,,,
2788,1035_TIE_SAD_XX,91,S,,,,,,,,,
6274,1077_DFA_ANG_XX,80,A,,,,,,,,,
2539,1032_IEO_DIS_HI,72,D,,,,,,,,,
6523,1080_ITS_NEU_XX,73,N,,,,,,,,,
3037,1038_TIE_DIS_XX,78,D,,,,,,,,,
4531,1056_TAI_DIS_XX,87,D,,,,,,,,,
3535,1044_IOM_DIS_XX,82,D,,,,,,,,,
5776,1071_ITH_SAD_XX,66,S,,,,,,,,,
6772,1083_ITS_ANG_XX,47,A,,,,,,,,,
1543,1020_IEO_HAP_HI,94,H,,,,,,,,,
5527,1068_IWL_DIS_XX,26,D,,,,,,,,,
1073,1014_TIE_ANG_XX,98,A,,,,,,,,,
4282,1053_TAI_SAD_XX,47,S,,,,,,,,,
1294,1016_WSI_NEU_XX,35,N,,,,,,,,,
4804,1059_ITS_SAD_XX,66,S,,,,,,,,,
2812,1035_MTI_SAD_XX,72,S,,,,,,,,,
4057,1050_ITH_DIS_XX,37,D,,,,,,,,,
2563,1032_TAI_DIS_XX,65,D,,,,,,,,,
6049,1074_WSI_DIS_XX,26,D,,,,,,,,,
5551,1068_TSI_DIS_XX,55,D,,,,,,,,,
6796,1084_IEO_ANG_HI,80,A,,,,,,,,,
4306,1053_DFA_SAD_XX,24,S,,,,,,,,,
1318,1017_TIE_SAD_XX,74,S,,,,,,,,,
322,1004_WSI_NEU_XX,61,N,,,,,,,,,
3061,1038_MTI_DIS_XX,69,D,,,,,,,,,
2314,1029_TAI_SAD_XX,47,S,,,,,,,,,
6547,1081_IEO_SAD_HI,23,S,,,,,,,,,
3808,1047_ITH_SAD_XX,89,S,,,,,,,,,
5302,1065_TSI_SAD_XX,75,S,,,,,,,,,
1816,1023_IWW_SAD_XX,87,S,,,,,,,,,
7294,1090_IEO_DIS_HI,82,D,,,,,,,,,
820,1011_IEO_FEA_HI,79,F,,,,,,,,,
2065,1026_IWW_DIS_XX,38,D,,,,,,,,,
1567,1020_IOM_DIS_XX,71,D,,,,,,,,,
4555,1056_DFA_DIS_XX,71,D,,,,,,,,,
6298,1078_IEO_HAP_HI,89,H,,,,,,,,,
1069,1014_IEO_DIS_HI,51,D,,,,,,,,,
5800,1071_WSI_SAD_XX,80,S,,,,,,,,,
571,1007_WSI_ANG_XX,78,A,,,,,,,,,
101,1002_TIE_ANG_XX,92,A,,,,,,,,,
7045,1087_IEO_FEA_HI,55,F,,,,,,,,,
5053,1062_ITS_DIS_XX,89,D,,,,,,,,,
3559,1044_IWL_DIS_XX,60,D,,,,,,,,,
3310,1041_IWL_SAD_XX,63,S,,,,,,,,,
848,1011_MTI_NEU_XX,74,N,,,,,,,,,
5081,1063_IEO_DIS_HI,74,D,,,,,,,,,
5330,1066_TIE_SAD_XX,32,S,,,,,,,,,
2840,1035_TSI_NEU_XX,76,N,,,,,,,,,
4085,1051_IEO_HAP_HI,87,H,,,,,,,,,
4334,1054_IEO_SAD_HI,62,S,,,,,,,,,
3587,1044_WSI_ANG_XX,68,A,,,,,,,,,
3836,1048_IEO_NEU_XX,80,N,,,,,,,,,
3338,1041_WSI_NEU_XX,75,N,,,,,,,,,
2591,1032_ITS_ANG_XX,75,A,,,,,,,,,
7073,1087_MTI_NEU_XX,81,N,,,,,,,,,
6077,1075_IOM_DIS_XX,43,D,,,,,,,,,
5579,1069_TIE_DIS_XX,57,D,,,,,,,,,
4583,1057_IEO_ANG_HI,84,A,,,,,,,,,
6824,1084_TAI_ANG_XX,18,A,,,,,,,,,
7322,1090_MTI_ANG_XX,22,A,,,,,,,,,
6326,1078_IWW_ANG_XX,82,A,,,,,,,,,
599,1008_IOM_ANG_XX,84,A,,,,,,,,,
1595,1020_ITH_ANG_XX,24,A,,,,,,,,,
2093,1026_DFA_ANG_XX,56,A,,,,,,,,,
6575,1081_TAI_NEU_XX,80,N,,,,,,,,,
2342,1029_ITS_NEU_XX,80,N,,,,,,,,,
350,1005_IOM_NEU_XX,80,N,,,,,,,,,
1097,1014_MTI_ANG_XX,77,A,,,,,,,,,
1346,1017_IWL_NEU_XX,74,N,,,,,,,,,
1844,1023_DFA_NEU_XX,73,N,,,,,,,,,
3089,1038_TSI_ANG_XX,53,A,,,,,,,,,
5828,1072_IOM_SAD_XX,55,S,,,,,,,,,
129,1002_IWL_HAP_XX,63,H,,,,,,,,,
4832,1060_IEO_FEA_HI,18,F,,,,,,,,,
1623,1021_IEO_HAP_LO,48,H,,,,,,,,,
6603,1081_DFA_FEA_XX,14,F,,,,,,,,,
1125,1014_TSI_HAP_XX,65,H,,,,,,,,,
4860,1060_MTI_NEU_XX,80,N,,,,,,,,,
7350,1090_TSI_HAP_XX,87,H,,,,,,,,,
