No.,Message,wav,duration,Emotion,,,,,,,,,,,,,,,,,,,,
1,It would be readily obvious to people who serving oppositing that's exactly what they are trying to do,datafolder/spk1_1.wav,6.144,angry,,,,,,,,,,,,,,,,,,,,
2,including some extraordinarily stupid noisy yelling,datafolder/spk1_2.wav,6.336,angry,,,,,,,,,,,,,,,,,,,,
3,"a girl that lived on the second floor, her ex boyfriend ah set a fire, and the smoke, you know, killed my son while he was upstair sleeping",datafolder/spk2_1.wav,9.13,sad,,,,,,,,,,,,,,,,,,,,
4,"you know set the fire and intended to kill her, and you know Joey didn't make it you know",datafolder/spk2_2.wav,5.832,sad,,,,,,,,,,,,,,,,,,,,
5,I don't understand what he was thinking of but his stu”d act has ruined lives of people he didn't even know existed,datafolder/spk2_3.wav,7.259,angry,,,,,,,,,,,,,,,,,,,,
6,"we've never done anything to her I've never got a traffic ticket, nothing",datafolder/spk2_4.wav,4.517,sad,,,,,,,,,,,,,,,,,,,,
7,further and we'll be punished the rest of our lives because of someone we didn't even know,datafolder/spk2_5.wav,4.451,sad,,,,,,,,,,,,,,,,,,,,
8,"if he would've ah been in a car accident where there was an accident or something but to know that someone deliberately, while he was sleeping that where is the safest place you think child is in bed sleeping",datafolder/spk2_6.wav,10.103,angry,,,,,,,,,,,,,,,,,,,,
9,all of us I mean just the emptyness the sick feeling that you have inside you every single day,datafolder/spk2_7.wav,4.731,angry,,,,,,,,,,,,,,,,,,,,
10,"not a day goes by that I don't do not shed a tear, not one day",datafolder/spk2_8.wav,3.391,sad,,,,,,,,,,,,,,,,,,,,
11,"I'm very angry, and I mean",datafolder/spk3_1.wav,2.991,sad,,,,,,,,,,,,,,,,,,,,
12,"from time to time I'll burst into the screaming face, in my own house",datafolder/spk3_2.wav,4.512,angry,,,,,,,,,,,,,,,,,,,,
13,I sit on my couch and cry and I live like a spire I mean,datafolder/spk3_3.wav,3.785, ,,,,,,,,,,,,,,,,,,,,
14,I'm scared to death to answer the phone or or answer the door,datafolder/spk3_4.wav,3.912,sad,,,,,,,,,,,,,,,,,,,,
15,you know that was my baby my new born baby on there that I I'm never gonna get that back,datafolder/spk4_1.wav,4.116,sad,,,,,,,,,,,,,,,,,,,,
16,"and I, I actually had called kept calling my house",datafolder/spk4_2.wav,3.637,sad,,,,,,,,,,,,,,,,,,,,
17,"what do you do if you are violated it's just like it's like they've been in your home, they've been through your things and",datafolder/spk4_3.wav,5.562,sad,,,,,,,,,,,,,,,,,,,,
18,"I just it's not a good feeling, they are there for twenty minutes they'll rock your life for a year",datafolder/spk4_4.wav,5.61,sad,,,,,,,,,,,,,,,,,,,,
19,it's like we hold the truth and we can't get near one another,datafolder/spk5_1.wav,4.302,sad,,,,,,,,,,,,,,,,,,,,
20,it's too horrible to even see each other it's so painful,datafolder/spk5_2.wav,3.666,sad,,,,,,,,,,,,,,,,,,,,
21,"at that point and time, I realized my life was in danger and I didn't want to stay in this relationship",datafolder/spk6_1.wav,5.999,sad,,,,,,,,,,,,,,,,,,,,
22,I see all of the additional stigma in our society,datafolder/spk6_2.wav,4.81,sad,,,,,,,,,,,,,,,,,,,,
23,I see how they are being targeted for crime and abuse,datafolder/spk6_3.wav,4.489,sad,,,,,,,,,,,,,,,,,,,,
24,"and I wasn't really talking to my family because I had pretty much pushed them other way side, they didn't like him or how he treated me",datafolder/spk7_1.wav,7.092,sad,,,,,,,,,,,,,,,,,,,,
25,"to see and, so there was nobody to go to",datafolder/spk7_2.wav,2.641,sad,,,,,,,,,,,,,,,,,,,,
26,"you go through the whole realm of emotions, one minute you are",datafolder/spk7_3.wav,2.863,sad,,,,,,,,,,,,,,,,,,,,
27,mad as a hatter that you allowed yourself to do this or that he did to you,datafolder/spk7_4.wav,3.41,sad,,,,,,,,,,,,,,,,,,,,
28,"I think about it that was probably the most painful and still probably the the hardest to get passed, emm you know when you are in a relationship with someone you love",datafolder/spk7_5.wav,8.251,sad,,,,,,,,,,,,,,,,,,,,
29,being a victim of domestic violence has really affected my whole entire family and friend structure,datafolder/spk7_6.wav,4.725,sad,,,,,,,,,,,,,,,,,,,,
30,"or getting into a relationship again, emm, I can't imagine being intimite, I'm afraid that if I put myself out there it will happen again",datafolder/spk7_7.wav,8.5,sad,,,,,,,,,,,,,,,,,,,,
31,I was too loved in the relationship,datafolder/spk7_8.wav,1.769,sad,,,,,,,,,,,,,,,,,,,,
32,"and so you've got the hate, you know it just is intense hate",datafolder/spk8_1.wav,3.624,angry,,,,,,,,,,,,,,,,,,,,
33,so now you've got all this hatred for this person and you got all this pain and sorrow,datafolder/spk8_2.wav,4.891,angry,,,,,,,,,,,,,,,,,,,,
34,"they still don't see themselves as a problem, you know because",datafolder/spk8_3.wav,2.857,angry,,,,,,,,,,,,,,,,,,,,
35,maybe somebody isn't in their face showing them a picture of their dead daughter,datafolder/spk8_4.wav,3.033,angry,,,,,,,,,,,,,,,,,,,,
36,"you know maybe that'll, I don't know, help deter you, you wanna drink drink take a cab",datafolder/spk8_5.wav,3.728,angry,,,,,,,,,,,,,,,,,,,,
37,"it it was hard, it was very hard to deal with that",datafolder/spk9_1.wav,2.844,sad,,,,,,,,,,,,,,,,,,,,
38,"and it hurts, because I know my son wanted to live and it wasn't fair, it was not fair",datafolder/spk9_2.wav,4.679,sad,,,,,,,,,,,,,,,,,,,,
39,human being just covering his face and had to survive,datafolder/spk10_1.wav,2.931,sad,,,,,,,,,,,,,,,,,,,,
40,getting into an argument playing basketball,datafolder/spk10_2.wav,2.089,sad,,,,,,,,,,,,,,,,,,,,
41,I got the the nickname angry Amy when I was working in the salon,datafolder/spk11_1.wav,4.615,happy,,,,,,,,,,,,,,,,,,,,
42,"I don't see it is being anger I see it is being realistic ha ha ha ha, I can't care about his life",datafolder/spk11_2.wav,5.364,happy,,,,,,,,,,,,,,,,,,,,
43,"my quality of life will never be the same as it was, you know, my innocence is completely gone",datafolder/spk11_3.wav,5.019,sad,,,,,,,,,,,,,,,,,,,,
44,very little life can show me that is gonna be as good as when Joe was alive,datafolder/spk11_4.wav,4.413,sad,,,,,,,,,,,,,,,,,,,,
45,I do know that there is a lot of people who commit this crime and think that they,datafolder/spk12_1.wav,5.203,sad,,,,,,,,,,,,,,,,,,,,
46,"shouldn't be held responsible, but they should, and they should be punished",datafolder/spk12_2.wav,3.8,angry,,,,,,,,,,,,,,,,,,,,
47,"if you shared with us the court again, or tried to get out on parole again, I want to be there too",datafolder/spk12_3.wav,4.889,sad,,,,,,,,,,,,,,,,,,,,
48,"because even though I know I won't get my daughter again, I miss her",datafolder/spk12_4.wav,3.499,sad,,,,,,,,,,,,,,,,,,,,
49,"but god has been with me, I'm doing the best I can, and I'm sure they wouldn't want me eh cry everyday on",datafolder/spk12_5.wav,6.453,sad,,,,,,,,,,,,,,,,,,,,
50,"you know, suffering because of them, I could hear that mama, you have to go on, you have to live, so that's what I'm trying to do",datafolder/spk12_6.wav,6.384,sad,,,,,,,,,,,,,,,,,,,,
51,"then I knew that if I screamed, then I was afraid that it would the end result would be not only my death but his death as well",datafolder/spk13_1.wav,6.39,sad,,,,,,,,,,,,,,,,,,,,
52,"I went into imediate shock, I was like a zombie, it was like",datafolder/spk13_2.wav,3.281,sad,,,,,,,,,,,,,,,,,,,,
53,"this can't have really happened to me, you know I've got to be dreaming and I just can't wake up",datafolder/spk13_3.wav,4.927,sad,,,,,,,,,,,,,,,,,,,,
54,there are a lot of people told me after I was attacked Debbie at least you are alive,datafolder/spk13_4.wav,3.902,sad,,,,,,,,,,,,,,,,,,,,
55,"and I remember thinking I'm not alive, I felt like I could not trust anybody especially of course strangers",datafolder/spk13_5.wav,5.787,sad,,,,,,,,,,,,,,,,,,,,
56,I need to be able to look at him eye to eye and say you can't hurt me anymore,datafolder/spk13_6.wav,5.596,sad,,,,,,,,,,,,,,,,,,,,
57,"it's over and it's done, and I need that for me",datafolder/spk13_7.wav,2.521,sad,,,,,,,,,,,,,,,,,,,,
58,"I'm born race here in LA, I am one of the five you can pinch me I'm real, see oh yes",datafolder/spk14_1.wav,4.618,happy,,,,,,,,,,,,,,,,,,,,
59,no I'm I'm from here I'm from here,datafolder/spk14_2.wav,2.637,happy,,,,,,,,,,,,,,,,,,,,
60,ah I studied french for eight years,datafolder/spk14_3.wav,2.424,happy,,,,,,,,,,,,,,,,,,,,
61,now it's deplorable I can't remember anything,datafolder/spk14_4.wav,2.367,sad,,,,,,,,,,,,,,,,,,,,
62,it's a perverse place for a little girl who went to catholic school no less to grow up,datafolder/spk14_5.wav,4.39,happy,,,,,,,,,,,,,,,,,,,,
63,curly hair and gap in my teeth and yeah I guess it could work I mean I they watched me,datafolder/spk14_6.wav,3.858,happy,,,,,,,,,,,,,,,,,,,,
64,"UK can do it France can do it Germany can do it all of europe can do it, gee whiz somehow or another we are the only major country on earth that can't do it, why is that",datafolder/spk15_1.wav,10.967,angry,,,,,,,,,,,,,,,,,,,,
65,I will not be lectured about sexism and misogyny by this man,datafolder/spk16_1.wav,4.981,angry,,,,,,,,,,,,,,,,,,,,
66,she was the best audience she was the one I was always trying to make laugh and she was such a fan of the show and eveything I I did,datafolder/spk17_1.wav,5.716,sad,,,,,,,,,,,,,,,,,,,,
67,when we were little my mom would walk us to the store near my sister and she would hold hands,datafolder/spk17_2.wav,4.8,sad,,,,,,,,,,,,,,,,,,,,
68,"last week us in the hospital I just grabbed her hand and I squeezed I love you, I just knew you were in trouble yeah",datafolder/spk17_3.wav,6.443,sad,,,,,,,,,,,,,,,,,,,,
69,"but I feel so grateful to be able to do this every single night and I'm very appreciative of all the support from all of you that my family received over the past week, we are gonna continue to work really hard to bring some light and some laughter into the world",datafolder/spk17_4.wav,12.181,sad,,,,,,,,,,,,,,,,,,,,
70,"thank you for watching thank you for helping me and my family recover from this loss, mama I'll never stop trying to make you laugh, I love you",datafolder/spk17_5.wav,5.862,sad,,,,,,,,,,,,,,,,,,,,
71,"it's been three years we we work together with this team, perso personally it's something special to leave such people",datafolder/spk18_1.wav,6.208,sad,,,,,,,,,,,,,,,,,,,,
72,"you welcomed a a chubby unathletic kid into the program with open arms I wouldn't say that many would do that but thank you, that's the thing the most thankful for us",datafolder/spk19_1.wav,7.676,sad,,,,,,,,,,,,,,,,,,,,
73,coach Riley the day that you did that changed my life so appreciate that,datafolder/spk19_2.wav,3.218,sad,,,,,,,,,,,,,,,,,,,,
74,coach Riley he've been a great mentor to me we've been through a lot together so appreciate you,datafolder/spk19_3.wav,3.967,sad,,,,,,,,,,,,,,,,,,,,
75,"there were times I had to move you guys made sacrifice after sacrifice just so I could chase my dreams, wouldn't be here without you, love you, like I said sacrifice after sacrifice you guys have instilled a mentality in me",datafolder/spk19_4.wav,10.556,sad,,,,,,,,,,,,,,,,,,,,
76,"mom dad and rest of my family, thank you, thank you for sacrificing and providing me and Matt every opportunity I could ever have, words can't express how much you guys",datafolder/spk20_1.wav,8.399,sad,,,,,,,,,,,,,,,,,,,,
77,"I'm truly grateful to have you guys in my life, mom and dad, thank you for your love and and sharing that with me and matt, we are truly grateful",datafolder/spk20_2.wav,5.988,sad,,,,,,,,,,,,,,,,,,,,
78,I don't think I could say that I'm about to go red,datafolder/spk21_1.wav,2.959,happy,,,,,,,,,,,,,,,,,,,,
79,"what I, no but it is but I am on the room ha ha ha ha",datafolder/spk22_1.wav,3.072,happy,,,,,,,,,,,,,,,,,,,,
80,"you know what's bad, I ship them actually, haha so I feel like haha I know it's just a personal thing",datafolder/spk23_1.wav,6.826,happy,,,,,,,,,,,,,,,,,,,,
81,"but I think they are both great I got to do with both of them but not like I'd like to thether anything ha ha ha ha ha ha ha, I like to make sure that we all knew we were alike, this is going down the hall ha ha ha ha ha",datafolder/spk23_2.wav,10.444,happy,,,,,,,,,,,,,,,,,,,,
82,ha ha ha I think it would be like what but I'd be like I'm having the best,datafolder/spk23_3.wav,3.401,happy,,,,,,,,,,,,,,,,,,,,
83,and also I did have to chill in that outfit just be like ha people will be funny,datafolder/spk23_4.wav,4.113,happy,,,,,,,,,,,,,,,,,,,,
84,purely because I think the slave out it will get really cold ha ha ha ha,datafolder/spk23_5.wav,3.79,happy,,,,,,,,,,,,,,,,,,,,
