No.,Text,Type,Label,Main emotion
1,?,slang,1,Negative
2,?4U,slang,0,Neutral
3,;S,slang,0,Neutral
4,^^,slang,0,Neutral
5,<3,slang,0,Neutral
6,</3,slang,1,Negative
7,<3333,slang,0,Neutral
8,@TEOTD,slang,0,Neutral
9,0.02,slang,0,Positive
10,"1TG, 2TG",slang,0,Positive
11,1UP,slang,0,Neutral
12,121,slang,0,Neutral
13,1337,slang,0,Neutral
14,143,slang,0,Positive
15,1432,slang,0,Positive
16,14AA41,slang,0,Neutral
17,182,slang,1,Negative
18,19,slang,0,Neutral
19,10M,slang,0,Neutral
20,10X,slang,0,Positive
21,10Q,slang,0,Neutral
22,1CE,slang,0,Neutral
23,1DR,slang,0,Neutral
24,1NAM,slang,0,Neutral
25,2,slang,0,Neutral
26,20,slang,0,Neutral
27,2B,slang,0,Neutral
28,2EZ,slang,0,Positive
29,2G2BT,slang,0,Positive
30,2M2H,slang,0,Positive
31,2MI,slang,0,Positive
32,2MOR,slang,0,Neutral
33,2MORO,slang,0,Neutral
34,2M2H,slang,0,Positive
35,2N8,slang,0,Neutral
36,2NTE,slang,0,Neutral
37,4,slang,0,Neutral
38,411,slang,0,Neutral
39,404,slang,0,Neutral
40,420,slang,0,Positive
41,459,slang,0,Positive
42,4AO,slang,0,Neutral
43,4COL,slang,1,Negative
44,4EAE,slang,0,Neutral
45,4EVA,slang,0,Neutral
46,4NR,slang,0,Neutral
47,4SALE,slang,0,Neutral
48,^5,slang,0,Neutral
49,511,slang,0,Positive
50,555,slang,1,Negative
51,55555,slang,1,Negative
52,55555,slang,0,Neutral
53,6Y,slang,0,Positive
54,7K,slang,1,Negative
55,81,slang,0,Neutral
56,831,slang,0,Positive
57,86,slang,0,Neutral
58,88,slang,0,Neutral
59,88,slang,0,Neutral
60,9,slang,0,Neutral
61,*s*,slang,0,Positive
62,*w*,slang,0,Neutral
63,A3,slang,0,Neutral
64,AA,slang,0,Neutral
65,AA,slang,0,Neutral
66,AA,slang,0,Neutral
67,AAF,slang,0,Neutral
68,AAF,slang,0,Neutral
69,AAK,slang,0,Neutral
70,AAK,slang,0,Positive
71,AAMOF,slang,0,Neutral
72,AAMOI,slang,0,Neutral
73,AAP,slang,0,Neutral
74,AAR,slang,0,Neutral
75,AAS,slang,0,Positive
76,AASHTA,slang,0,Neutral
77,AATK,slang,0,Neutral
78,AAYF,slang,0,Neutral
79,ABBR,slang,0,Neutral
80,ABC,slang,0,Neutral
81,ABD,slang,0,Neutral
82,ABT,slang,0,Neutral
83,ABT2,slang,0,Neutral
84,ABTA,slang,0,Neutral
85,ABU,slang,0,Neutral
86,AC,slang,0,Neutral
87,ACC,slang,0,Neutral
88,ACD,slang,0,Neutral
89,ACDNT,slang,0,Neutral
90,ACE,slang,0,Neutral
91,ACK,slang,0,Neutral
92,ACPT,slang,0,Neutral
93,ACQSTN,slang,0,Neutral
94,ADAD,slang,0,Neutral
95,ADBB,slang,0,Neutral
96,ADD,slang,0,Neutral
97,ADDY,slang,0,Neutral
98,ADIH,slang,0,Neutral
99,ADIP,slang,0,Neutral
100,ADMIN,slang,0,Neutral
101,ADMINR,slang,0,Neutral
102,ADN,slang,0,Neutral
103,ADR,slang,0,Neutral
104,AE,slang,0,Neutral
105,AEAP,slang,0,Positive
106,AF,slang,0,Neutral
107,AF,slang,0,Neutral
108,AF,slang,0,Neutral
109,AFC,slang,0,Neutral
110,AFAIAA,slang,0,Positive
111,AFAIC,slang,0,Positive
112,AFAIK,slang,0,Positive
113,AFAIUI,slang,0,Positive
114,AFAP,slang,0,Positive
