No.,Message,Source,Label,Emotion
1,i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here,Twitter,0,sadness
2,im alone i feel awful,Twitter,0,sadness
3,ive probably mentioned this before but i really do feel proud of myself for actually keeping up with my new years resolution of monthly and weekly goals,Twitter,1,joy
4,i was feeling a little low few days back,Twitter,0,sadness
5,i beleive that i am much more sensitive to other peoples feelings and tend to be more compassionate,Twitter,2,love
6,i find myself frustrated with christians because i feel that there is constantly a talk about loving one another being there for each other and praying for each other and i have seen that this is not always the case,Twitter,2,love
7,i am one of those people who feels like going to the gym is only worthwhile if you can be there for an hour or more,Twitter,1,joy
8,i feel especially pleased about this as this has been a long time coming,Twitter,1,joy
9,i was struggling with these awful feelings and was saying such sweet things about not deserving my and my sisters friendship and we agreed well she was in her car just starting to drive away when she reached out her hand,Twitter,1,joy
10,i feel so enraged but helpless at the same time,Twitter,3,anger
11,i said feeling a bit rebellious,Twitter,3,anger
12,i also feel disillusioned that someone who claimed to value the truth as i do was a fraud,Twitter,0,sadness
13,i mean is on this stupid trip of making the great album when things are going well i feel ecstatic,Twitter,1,joy
14,i woke up feeling particularly vile tried to ignore it but it got worse and worse and worse,Twitter,3,anger
15,i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan,Twitter,3,anger
16,i know its just doing its job and doesnt actually have thoughts or feelings but that little jingle it does at the end of every cycle just makes it seem so excited to have done another load that it cant help but sing about it,Twitter,1,joy
17,i wish you knew every word i write i write for you and i think it s useless because i m just heartless this feeling is empty in it s w,Twitter,0,sadness
18,i feel weird knowing mine died when i wasn t around,Twitter,4,fear
19,i feel assured that there is no such thing as ultimate forgetting traces once impressed upon the memory are indestructible,Twitter,1,joy
20,i feel blessed everyday for our little man and love to watch him grow,Twitter,2,love
21,i feel exhausted when i go home but i am always glad that i am learning new things and i can help others learn as well,Twitter,0,sadness
22,i stil can see kaibas face on every tv screen still see amateur duelists prowling the good side of city and still feel the urge to throttle all those idiotic mortals that dare to look me in the eye,Twitter,0,sadness
23,i don t like to feel uncomfortable with being alone and being quiet,Twitter,4,fear
24,i was left kinda feeling stupid and insecure,Twitter,0,sadness
25,i alternate between feeling sympathetic toward humanity and being a misanthrope,Twitter,2,love
26,i have a pretty bad feeling the last two books will be rushed in terms of story,Twitter,3,anger
27,i sincerely believe that every client celebrity or not deserves my full attention and leaves feeling more glamorous than when they arrived,Twitter,1,joy
